fecha,clausura
07/09/2021 00:00,46866.82
06/09/2021 00:00,52708.2
05/09/2021 00:00,51809.28
04/09/2021 00:00,49943.16
03/09/2021 00:00,50025.04
02/09/2021 00:00,49274.79
01/09/2021 00:00,48853.49
31/08/2021 00:00,47156.09
30/08/2021 00:00,47003.44
29/08/2021 00:00,48808.72
28/08/2021 00:00,48935.36
27/08/2021 00:00,49100.49
26/08/2021 00:00,46856.29
25/08/2021 00:00,49011.75
24/08/2021 00:00,47731.33
23/08/2021 00:00,49561.37
22/08/2021 00:00,49301.86
21/08/2021 00:00,48884.34
20/08/2021 00:00,49356
19/08/2021 00:00,46764.3
18/08/2021 00:00,44721.13
17/08/2021 00:00,44694.35
16/08/2021 00:00,45930.51
15/08/2021 00:00,47028.3
14/08/2021 00:00,47119.73
13/08/2021 00:00,47860.58
12/08/2021 00:00,44444.45
11/08/2021 00:00,45539.85
10/08/2021 00:00,45609.7
09/08/2021 00:00,46292.89
08/08/2021 00:00,43858.42
07/08/2021 00:00,44612.94
06/08/2021 00:00,42856.59
05/08/2021 00:00,40894.67
04/08/2021 00:00,39741.12
03/08/2021 00:00,38177.07
02/08/2021 00:00,39165.55
01/08/2021 00:00,39839
31/07/2021 00:00,41490.13
30/07/2021 00:00,42234.89
29/07/2021 00:00,40037.51
28/07/2021 00:00,40036.32
27/07/2021 00:00,39475.41
26/07/2021 00:00,37291.24
25/07/2021 00:00,35428.28
24/07/2021 00:00,34301.78
23/07/2021 00:00,33684.17
22/07/2021 00:00,32300.88
21/07/2021 00:00,32138.45
20/07/2021 00:00,29786.58
19/07/2021 00:00,30829.29
18/07/2021 00:00,31776.65
17/07/2021 00:00,31529.68
16/07/2021 00:00,31388.17
15/07/2021 00:00,31848.65
14/07/2021 00:00,32823.55
13/07/2021 00:00,32728
12/07/2021 00:00,33105
11/07/2021 00:00,34258.53
10/07/2021 00:00,33517.6
09/07/2021 00:00,33826.43
08/07/2021 00:00,32898.79
07/07/2021 00:00,33882.47
06/07/2021 00:00,34244.09
05/07/2021 00:00,33704.21
04/07/2021 00:00,35289.21
03/07/2021 00:00,34688.3
02/07/2021 00:00,33811.56
01/07/2021 00:00,33564.21
30/06/2021 00:00,35037.23
29/06/2021 00:00,35907.93
28/06/2021 00:00,34487.11
27/06/2021 00:00,34699.5
26/06/2021 00:00,32269.38
25/06/2021 00:00,31597.75
24/06/2021 00:00,34649.32
23/06/2021 00:00,33652.28
22/06/2021 00:00,32545.26
21/06/2021 00:00,31634.16
20/06/2021 00:00,35589.77
19/06/2021 00:00,35507.06
18/06/2021 00:00,35840
17/06/2021 00:00,38097.68
16/06/2021 00:00,38353.99
15/06/2021 00:00,40171.47
14/06/2021 00:00,40532.79
13/06/2021 00:00,39013.76
12/06/2021 00:00,35542.76
11/06/2021 00:00,37341.11
10/06/2021 00:00,36707.54
09/06/2021 00:00,37400
08/06/2021 00:00,33411.69
07/06/2021 00:00,33582.62
06/06/2021 00:00,35808.85
05/06/2021 00:00,35532.14
04/06/2021 00:00,36887.32
03/06/2021 00:00,39219.88
02/06/2021 00:00,37589.36
01/06/2021 00:00,36693.3
31/05/2021 00:00,37341.41
30/05/2021 00:00,35677.72
29/05/2021 00:00,34632.08
28/05/2021 00:00,35692.46
27/05/2021 00:00,38503.47
26/05/2021 00:00,39309.56
25/05/2021 00:00,38397.72
24/05/2021 00:00,38839.86
23/05/2021 00:00,34706.79
22/05/2021 00:00,37500.54
21/05/2021 00:00,37335.16
20/05/2021 00:00,40640.9
19/05/2021 00:00,36780.43
18/05/2021 00:00,42877.75
17/05/2021 00:00,43593.39
16/05/2021 00:00,46444.75
